year,circuit,stay_out_driver,pitting_car,pit_lap,stay_out_laps,gap_ahead,tire_age,ca_tire_age,tire_age_delta,compound,own_pace,threat_pace,pace_delta,deg_delta,ca_deg_delta,closing_rate,pit_loss,pit_loss_fraction,race_progress,overcut_success
2022,Bahrain Grand Prix,HAM,TSU,15,12,5.113,4.0,14.0,-10.0,HARD,98.574,100.581,-2.007000000000005,,-0.03820000000000997,0.5127999999999993,25.145,0.2550875484407653,0.24561403508771928,1
2022,Bahrain Grand Prix,BOT,TSU,29,7,0.654,14.0,13.0,1.0,MEDIUM,98.451,98.4915,-0.04050000000000864,-0.01729999999999987,0.007099999999996919,-0.044200000000000024,25.145,0.2554062426994139,0.49122807017543857,0
2022,Bahrain Grand Prix,STR,ALB,13,5,1.259,12.0,12.0,0.0,SOFT,101.74100000000001,101.88499999999999,-0.14399999999997704,0.07320000000001113,-0.13749999999999266,0.39679999999999893,25.145,0.24714716780845478,0.21052631578947367,0
2022,Bahrain Grand Prix,HUL,ALB,35,2,13.121,15.0,21.0,-6.0,SOFT,98.833,99.206,-0.37300000000000466,0.6738999999999997,-0.06309999999999581,2.4511999999999947,25.145,0.25441907055335766,0.5964912280701754,0
2022,Bahrain Grand Prix,STR,ZHO,15,3,6.557,14.0,14.0,0.0,SOFT,101.71300000000001,100.58800000000001,1.125,-0.0856000000000079,-0.022300000000002977,1.134799999999998,25.145,0.24721520356296636,0.24561403508771928,0
2022,Bahrain Grand Prix,ZHO,HUL,19,18,1.254,3.0,18.0,-15.0,MEDIUM,98.0415,102.59450000000001,-4.5530000000000115,,0.2518000000000047,0.09070000000000016,25.145,0.2564730241785366,0.3157894736842105,1
2022,Bahrain Grand Prix,OCO,RIC,17,13,0.611,2.0,16.0,-14.0,MEDIUM,99.8865,101.705,-1.8185000000000002,0.13271621621621563,0.3240000000000067,-0.5428999999999983,25.145,0.251735720042248,0.2807017543859649,1
2022,Bahrain Grand Prix,HUL,RIC,33,4,7.377,13.0,15.0,-2.0,SOFT,98.8695,98.7805,0.08899999999999864,-0.556800000000003,-0.16300000000000373,2.0251000000000077,25.145,0.25432514577296333,0.5614035087719298,0
2022,Bahrain Grand Prix,TSU,OCO,14,1,4.981,13.0,13.0,0.0,SOFT,100.59800000000001,100.4385,0.1595000000000084,0.015799999999995686,0.06239999999999471,0.9618000000000002,25.145,0.24995526750034788,0.22807017543859648,0
2022,Bahrain Grand Prix,BOT,OCO,30,6,4.963,15.0,15.0,0.0,MEDIUM,98.451,98.089,0.36199999999999477,0.007299999999997862,-0.08540000000000171,0.6496999999999998,25.145,0.2554062426994139,0.5087719298245614,0
2022,Bahrain Grand Prix,STR,NOR,24,14,3.224,5.0,23.0,-18.0,SOFT,98.0375,100.742,-2.70450000000001,0.2925000000000066,-0.15949999999999223,0.1018000000000019,25.145,0.25648348846104807,0.40350877192982454,1
2022,Bahrain Grand Prix,PER,HAM,11,4,0.814,13.0,12.0,1.0,SOFT,99.3115,99.5435,-0.23199999999999932,0.1496999999999985,0.3710000000000097,-0.11630000000000008,25.145,0.2531932354259074,0.17543859649122806,1
2022,Bahrain Grand Prix,RUS,HAM,27,6,5.291,12.0,16.0,-4.0,HARD,97.69200000000001,97.7015,-0.009499999999988518,0.11170000000000359,-0.08570000000000243,-0.09259999999999978,25.145,0.2573905744585022,0.45614035087719296,0
2022,Bahrain Grand Prix,HUL,MSC,12,7,1.28,11.0,11.0,0.0,SOFT,102.31700000000001,102.021,0.2960000000000065,0.18030000000001095,0.16290000000000252,0.23530000000000056,25.145,0.2457558372508967,0.19298245614035087,0
2022,Bahrain Grand Prix,STR,MSC,35,3,5.163,16.0,22.0,-6.0,SOFT,98.3075,99.0615,-0.7539999999999907,-0.21120000000000214,-0.10600000000000524,-0.3986000000000002,25.145,0.25577906060066624,0.5964912280701754,0
