driver,stint,compound,tire_age,lap_number,lap_time_seconds,fuel_corrected_pace,baseline_pace,delta_pace,year,circuit
BOT,1.0,SOFT,7.0,4.0,101.127,100.938,100.221,0.7169999999999987,2022,Bahrain Grand Prix
BOT,1.0,SOFT,8.0,5.0,101.817,101.565,100.221,1.343999999999994,2022,Bahrain Grand Prix
BOT,1.0,SOFT,9.0,6.0,101.003,100.688,100.221,0.46699999999999875,2022,Bahrain Grand Prix
BOT,1.0,SOFT,10.0,7.0,101.287,100.909,100.221,0.6880000000000024,2022,Bahrain Grand Prix
BOT,1.0,SOFT,11.0,8.0,101.606,101.16499999999999,100.221,0.9439999999999884,2022,Bahrain Grand Prix
BOT,1.0,SOFT,12.0,9.0,100.586,100.082,100.221,-0.13900000000001,2022,Bahrain Grand Prix
BOT,1.0,SOFT,13.0,10.0,100.788,100.221,100.221,0.0,2022,Bahrain Grand Prix
BOT,1.0,SOFT,14.0,11.0,101.075,100.44500000000001,100.221,0.22400000000000375,2022,Bahrain Grand Prix
BOT,1.0,SOFT,15.0,12.0,101.073,100.38,100.221,0.15899999999999181,2022,Bahrain Grand Prix
BOT,1.0,SOFT,16.0,13.0,101.291,100.535,100.221,0.31399999999999295,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,2.0,16.0,100.259,99.31400000000001,97.477,1.8370000000000033,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,3.0,17.0,100.103,99.095,97.477,1.617999999999995,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,4.0,18.0,98.901,97.83,97.477,0.35299999999999443,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,5.0,19.0,98.831,97.697,97.477,0.21999999999999886,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,6.0,20.0,98.96,97.76299999999999,97.477,0.28599999999998715,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,7.0,21.0,99.279,98.01899999999999,97.477,0.5419999999999874,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,8.0,22.0,99.774,98.45100000000001,97.477,0.9740000000000038,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,9.0,23.0,99.339,97.953,97.477,0.4759999999999991,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,10.0,24.0,99.65,98.20100000000001,97.477,0.7240000000000038,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,11.0,25.0,100.341,98.829,97.477,1.3519999999999897,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,12.0,26.0,99.777,98.202,97.477,0.7249999999999943,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,13.0,27.0,100.338,98.69999999999999,97.477,1.2229999999999848,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,14.0,28.0,99.88,98.179,97.477,0.7019999999999982,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,15.0,29.0,100.641,98.87700000000001,97.477,1.4000000000000057,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,16.0,30.0,99.268,97.441,97.477,-0.036000000000001364,2022,Bahrain Grand Prix
