year,circuit,driver,car_ahead,pit_lap,gap_ahead,tire_age,car_ahead_tire_age,tire_age_advantage,compound,own_pace,threat_pace,pace_delta,deg_delta,ca_deg_delta,closing_rate,pit_loss,pit_loss_fraction,race_progress,undercut_success
2022,Bahrain Grand Prix,TSU,OCO,29,4.195,13.0,14.0,1.0,MEDIUM,98.4915,98.108,0.38349999999999795,0.007099999999996919,-0.13589999999999203,0.46340000000000037,25.145,0.255301218886909,0.49122807017543857,0
2022,Bahrain Grand Prix,ALB,ZHO,13,3.282,12.0,12.0,0.0,SOFT,101.88499999999999,100.68,1.204999999999984,-0.13749999999999266,-0.3488999999999933,0.579799999999999,25.145,0.2467978603327281,0.21052631578947367,0
2022,Bahrain Grand Prix,ALB,STR,35,5.832,21.0,16.0,-5.0,MEDIUM,99.206,98.3075,0.8984999999999985,-0.06309999999999581,-0.21120000000000214,0.7488999999999989,25.145,0.2534624921879725,0.5964912280701754,0
2022,Bahrain Grand Prix,ZHO,HAM,15,1.858,14.0,4.0,-10.0,SOFT,100.58800000000001,98.574,2.01400000000001,-0.022300000000002977,,-0.49669999999999886,25.145,0.24998011691255415,0.24561403508771928,0
2022,Bahrain Grand Prix,HUL,NOR,19,0.87,18.0,18.0,0.0,SOFT,102.59450000000001,102.017,0.5775000000000148,0.2518000000000047,-0.32709999999999556,-0.6278000000000027,25.145,0.2450911111219412,0.3157894736842105,1
2022,Bahrain Grand Prix,RIC,NOR,17,1.399,16.0,16.0,0.0,MEDIUM,101.705,101.948,-0.242999999999995,0.3240000000000067,0.09310000000000487,-0.08269999999999988,25.145,0.24723464923061797,0.2807017543859649,1
2022,Bahrain Grand Prix,RIC,ALB,33,6.742,15.0,19.0,4.0,SOFT,98.7805,99.314,-0.5334999999999894,-0.16300000000000373,-0.11330000000000653,-0.5923000000000016,25.145,0.2545542895611988,0.5614035087719298,0
2022,Bahrain Grand Prix,OCO,GAS,14,2.324,13.0,16.0,3.0,SOFT,100.4385,100.4795,-0.04099999999999682,0.06239999999999471,0.05600000000000235,-0.0754000000000006,25.145,0.2503522055785381,0.22807017543859648,0
2022,Bahrain Grand Prix,NOR,ALB,24,1.664,23.0,10.0,-13.0,MEDIUM,100.742,99.42150000000001,1.3204999999999956,-0.15949999999999223,-0.018100000000002846,0.35179999999999784,25.145,0.24959798296638938,0.40350877192982454,1
2022,Bahrain Grand Prix,HAM,SAI,11,2.259,12.0,13.0,1.0,SOFT,99.5435,99.01750000000001,0.525999999999982,0.3710000000000097,-0.06180000000000254,0.47639999999999955,25.145,0.2526031333035306,0.17543859649122806,0
2022,Bahrain Grand Prix,HAM,PER,27,13.39,16.0,11.0,-5.0,HARD,97.7015,96.8065,0.894999999999996,-0.08570000000000243,0.14910000000000026,1.0495999999999999,25.145,0.2573655471000957,0.45614035087719296,0
2022,Bahrain Grand Prix,MSC,STR,12,1.101,11.0,11.0,0.0,SOFT,102.021,101.72300000000001,0.2979999999999876,0.16290000000000252,0.05780000000001223,-0.16930000000000045,25.145,0.246468864253438,0.19298245614035087,1
2022,Bahrain Grand Prix,SAI,VER,14,5.788,16.0,16.0,0.0,SOFT,99.358,98.8015,0.5564999999999998,0.12670000000000348,-0.004599999999997062,0.4783000000000012,25.145,0.2530747398297067,0.22807017543859648,1
2022,Bahrain Grand Prix,LAT,RIC,14,1.022,13.0,13.0,0.0,SOFT,102.398,101.858,0.539999999999992,0.19579999999999528,-0.2356000000000055,-0.4784000000000011,25.145,0.24556143674681147,0.22807017543859648,1
2022,Bahrain Grand Prix,LAT,RIC,32,4.517,17.0,14.0,-3.0,SOFT,100.5435,98.8415,1.7019999999999982,0.007800000000003138,-0.16469999999999368,-0.925400000000006,25.145,0.2500907567371337,0.543859649122807,0
2022,Bahrain Grand Prix,RUS,PER,15,5.195,17.0,17.0,0.0,SOFT,99.692,99.236,0.45599999999998886,-0.013700000000002256,-0.02489999999999775,0.44929999999999937,25.145,0.2522268587248726,0.24561403508771928,0
